,name,signer,gloss,text
11,train/25October_2010_Monday_tagesschau-15,Signer01,ITALIEN IX TIEF DRUCK KOMMEN HEUTE NACHT BERG SCHNEE REGEN,das tief über italien sorgt dafür dass es an den alpen in der nacht noch schneit oder regnet .
12,train/25October_2010_Monday_tagesschau-16,Signer01,LANG ZEIT REGION HOCH KOMMEN OST KOMMEN SONST REGION DEUTSCH STARK RUHIG AUCH TEILWEISE FREUNDLICH SONNE,gleichzeitig weitet sich das hoch über der britannie weiter nach osten aus und beschert uns morgen in weiten teilen deutschlands ruhiges teilweise auch freundliches wetter .
13,train/25October_2010_Monday_tagesschau-18,Signer01,TAG MISCHUNG SONNE WOLKE KOENNEN NEBEL SUEDOST SUED NORD HABEN SCHAUER KOENNEN ABEND DANN NORDWEST BISSCHEN WOLKE KOMMEN,am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter .
14,train/25October_2010_Monday_tagesschau-19,Signer01,WIND WEHEN ABEND FRISCH WEHEN,im norden und osten weht der wind schwach bis mäßig sonst meist nur schwach am abend frischt er im nordwesten auf .
15,train/25October_2010_Monday_tagesschau-20,Signer01,HEUTE NACHT SECHS GRAD NORD MINUS SECHS ALLGAEU REGION,in der nacht sechs grad an der nordsee und minus sechs grad im allgäu .
16,train/25October_2010_Monday_tagesschau-21,Signer01,DREI REGION DREI ELF REGION,am tag drei grad im berchtesgadener land und elf grad am niederrhein .
17,train/25October_2010_Monday_tagesschau-23,Signer01,REGION WOLKE NEBEL UND SONNE,richtung südosten wolken nebel teilweise auch sonne .
18,train/05May_2011_Thursday_tagesschau-26,Signer08,MORGEN MITTE EUROPA HOCH KOMMEN BLEIBEN BIS MINDESTENS SONNTAG SONNE TEMPERATUR STEIGEN,das hoch das morgen über dem östlichen mitteleuropa liegt bestimmt bis mindestens sonntag unser wetter mit viel sonne und steigenden temperaturen .
19,train/05May_2011_Thursday_tagesschau-27,Signer08,ABER BLEIBEN TROCKEN NUR WEST SUEDWEST SONNTAG KOENNEN REGEN,die trockenheit dauert damit an nur im westen und südwesten sind am sonntag schauer möglich .
20,train/05May_2011_Thursday_tagesschau-28,Signer08,HEUTE NACHT REGION KLAR DEUTSCHLAND IX KOENNEN SEHEN NUR KOMMEN NORD REGION,heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts .
21,train/05May_2011_Thursday_tagesschau-29,Signer08,TAG VIEL SONNE REGION DUENN WOLKE KOENNEN NACH MITTAG SUEDWEST BERG UND BERG KOENNEN WOLKE KOENNEN,am tag viel sonne hier und da ein paar dünne schleierwolken am nachmittag bilden sich über den südwestlichen mittelgebirgen und den alpen ein paar quellwolken .
22,train/05May_2011_Thursday_tagesschau-30,Signer08,WIND SCHWACH MAESSIG WEHEN,der wind weht meist schwach mitunter auch mal mäßig .
23,train/05May_2011_Thursday_tagesschau-31,Signer08,HEUTE NACHT SIEBEN GRAD AACHEN MINUS ZWEI BERG TAL IX,heute nacht sieben grad in aachen und minus zwei grad in den alpentälern .
24,train/05May_2011_Thursday_tagesschau-32,Signer08,TAG FUENFZEHN GRAD RUEGEN REGION FUENF ZWANZIG FLUSS,am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein .
25,train/05May_2011_Thursday_tagesschau-33,Signer08,WEITER SONNE SAMSTAG UND SONNTAG REGION VIEL SONNE,sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne .
26,train/05May_2011_Thursday_tagesschau-34,Signer08,WEST SUEDWEST KOENNEN WOLKE MANCHMAL KOENNEN SCHAUER GEWITTER KOENNEN,im westen und südwesten ist es teilweise wolkiger vereinzelt gibt es schauer oder gewitter .
27,train/05May_2011_Thursday_tagesschau-35,Signer08,MONTAG AUCH MEISTENS SONNE SUEDWEST WEST KOENNEN REGEN,auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden .
28,train/15December_2010_Wednesday_tagesschau-38,Signer05,WIND poss-SEIN SCHNEE WEHEN IX UNWETTER WARNUNG ENORM,starke winde sorgen zudem für schneeverwehungen es bestehen entsprechende unwetterwarnungen des deutschen wetterdienstes .
29,train/15December_2010_Wednesday_tagesschau-39,Signer05,HEUTE NACHT BESONDERS IX SUED SCHNEE SCHNEIEN MORGEN FRUEH NORDWEST WIEDER KOMMEN SCHNEE SCHNEIEN REGEN GLATT GEFAHR,heute nacht schneit es zunächst vor allem im süden aber gegen morgen ziehen von nordwesten neuer schnee und auch regen heran und sorgen für gefährliche glätte .
30,train/15December_2010_Wednesday_tagesschau-41,Signer05,REGION AUCH FROST REGEN MIT FROST,im nordwesten und westen gibt es vorübergehend auch gefrierenden regen .
31,train/15December_2010_Wednesday_tagesschau-42,Signer05,SUEDOST DANN ABEND BIS ABEND FREUNDLICH TROCKEN,im südosten bleibt es bis zum abend teilweise freundlich und meist trocken .
32,train/15December_2010_Wednesday_tagesschau-44,Signer05,HEUTE NACHT BESONDERS OST SUEDOST HART FROST NORD PLUS EINS,heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad .
33,train/15December_2010_Wednesday_tagesschau-45,Signer05,MORGEN IX VIER BERG BIS MINUS SIEBEN,dort morgen plus vier am alpenrand bis minus sieben grad .
34,train/15December_2010_Wednesday_tagesschau-46,Signer05,FREITAG REGION BERG SCHON SCHNEE SCHNEIEN SONST REGION FREUNDLICH TROCKEN,am freitag im osten und am alpenrand noch schnee sonst zum teil freundlich und meist trocken .
35,train/15December_2010_Wednesday_tagesschau-47,Signer05,SAMSTAG AUCH FREUNDLICH,auch am samstag teilweise freundlich .
36,train/15December_2010_Wednesday_tagesschau-48,Signer05,IX ABEND KOMMEN WIEDER SCHNEE SCHNEIEN SONNTAG KOMMEN,gegen abend zieht von westen wieder schnee heran der sich am sonntag weiter ausbreitet .
37,train/10March_2011_Thursday_heute-49,Signer01,GUT ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer .
38,train/10March_2011_Thursday_heute-50,Signer01,WETTER WIND MORGEN VERSCHWINDEN DANN IN-KOMMEND WOCHENENDE LANGSAM KOMMEN FRUEHLING BODEN BLUETE VORHER WOLKE BRAUN,das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen .
39,train/10March_2011_Thursday_heute-52,Signer01,HEUTE NACHT REGEN DOCH MITTE NORD,heute nacht wird es allerdings noch regnen und zwar in der mitte und im norden deutschlands .
40,train/10March_2011_Thursday_heute-53,Signer01,MORGEN FRUEH DANN SCHNEE NORD KALT BISSCHEN NULL ZWISCHEN,und morgen früh gibt es sogar schneeregen an der nordseeküste ist es kalt genug so wenig über null grad sind es .
41,train/10March_2011_Thursday_heute-54,Signer01,TAGSUEBER VERSCHIEDEN TEMPERATUR SUED MILD ZEHN BIS VIERZEHN GRAD NORD ENORM KALT SINKEN,und auch tagsüber haben wir diese unterschiede in der temperatur denn im süden wird es wieder mild mit zehn bis vierzehn grad während es an den küsten deutlich kühler bleibt .
42,train/10March_2011_Thursday_heute-55,Signer01,IX SONNE DABEI VOR MITTAG BISSCHEN REGEN DANN SONNE MEISTENS WIND,aber dort scheint auch mal wieder die sonne wenn es auch am vormittag noch ein paar regenschauer gibt und es ist vor allen dingen noch windig .
43,train/10March_2011_Thursday_heute-56,Signer01,WEHEN BIS NACH MITTAG VERSCHWINDEN,stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab .
44,train/10March_2011_Thursday_heute-57,Signer01,MITTE REGION WOLKE ANFANG REGEN SUED SONNE AUCH WIND SONST SCHWACH,in der mitte deutschlands da ist es trüb anfangs regnet es noch und im süden haben wir auch sonniges wetter und der wind ist auch nur schwach .
45,train/10March_2011_Thursday_heute-59,Signer01,SONNTAG AUCH IX WARM ABER REGEN SCHON,am sonntag dann auch an den küsten langsam wärmer aber erste regenschauer gibt es wohl im nordwesten .
46,train/10March_2011_Thursday_heute-60,Signer01,SCHOEN ABEND GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut .
47,train/14August_2009_Friday_tagesschau-61,Signer05,JETZT WIE-AUSSEHEN WETTER MORGEN SAMSTAG FUENFZEHN AUGUST,und nun die wettervorhersage für morgen samstag den fünfzehnten august .
48,train/14August_2009_Friday_tagesschau-64,Signer05,NORD WOLKE IX ZWISCHEN SCHOTTLAND,der norden wird allerdings von den wolken eines tiefs bei schottland gestreift .
49,train/14August_2009_Friday_tagesschau-65,Signer05,SCHOTTLAND HEUTE WOLKE IX AUFZIEHEN DAENEMARK IX REGEN,und in küstennähe halten sich heute noch wolken die vor allem richtung dänemark regen bringen .
50,train/14August_2009_Friday_tagesschau-66,Signer05,MAL NEBEL,hier und da bilden sich einzelne nebelfelder .
51,train/14August_2009_Friday_tagesschau-67,Signer05,IX MORGEN BISSCHEN REGEN,im äußersten norden kann es morgen noch etwas regnen .
52,train/14August_2009_Friday_tagesschau-68,Signer05,ALPEN IX BISSCHEN SCHAUER GEWITTER MOEGLICH,über den alpen sind einzelne schauer oder gewitter möglich .
53,train/14August_2009_Friday_tagesschau-69,Signer05,SONST REGION SONNE,sonst scheint verbreitet die sonne .
54,train/14August_2009_Friday_tagesschau-76,Signer05,MONTAG DIENSTAG AUCH WECHSELHAFT HEISS neg-NICHT-MEHR,auch montag und dienstag noch leicht wechselhaft und nicht mehr ganz so warm .
55,train/15June_2010_Tuesday_tagesschau-77,Signer01,MORGEN MITTWOCH SECHSZEHN JUNI WETTER WIE-AUSSEHEN,und nun die wettervorhersage für morgen mittwoch den sechzehnten juni .
56,train/15June_2010_Tuesday_tagesschau-78,Signer01,HEUTE KOMMEN NORD MITTE KOMMEN,hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter .
57,train/15June_2010_Tuesday_tagesschau-79,Signer01,MITTE ALPEN TIEF KOMMEN SUED REGEN,das tief das vom mittelmeer zu den alten zieht sorgt im süden für regenfälle .
58,train/15June_2010_Tuesday_tagesschau-80,Signer01,HEUTE NACHT MEHR KLAR STERN KOENNEN SEHEN SUED WOLKE HIMMEL REGEN IX KOENNEN,die nacht verläuft meist klar im süden liegen die wolken dichter beieinander stellenweise regnet es .
59,train/15June_2010_Tuesday_tagesschau-81,Signer01,TAG SCHWARZ WALD BAYERN REGION REGEN STARK REGEN KOENNEN,am tag muss vor allem zwischen schwarzwald im bayrischem wald mit regen gerechnet werden der kräftig sein kann .
60,train/15June_2010_Tuesday_tagesschau-82,Signer01,REGION WOLKE VIEL SONNE,in der nordhälfte neben lockeren wolken viel sonne .
61,train/15June_2010_Tuesday_tagesschau-83,Signer01,NORDOST WIND WEHEN SUED WEHEN KOENNEN IX KOENNEN STURM,im nordosten weht der wind schwach bis mäßig richtung südwesten teilweise frischer bis starker wind mit einzelnen stürmischen böen in den hochlagen auch sturmböen .
62,train/15June_2010_Tuesday_tagesschau-84,Signer01,TATSAECHLICH STURM KOENNEN HEUTE NACHT FUENFZEHN GRAD REGION BIS FUENF GRAD NORD,heute nacht fünfzehn grad im breisgau und bis fünf grad im norden .
63,train/15June_2010_Tuesday_tagesschau-85,Signer01,TAG SECHSZEHN REGION SONST DREI ZWANZIG GRAD REGION,am tag sechzehn grad an der ostsee und dort wo es länger regnet sonst bis dreiundzwanzig grad .
64,train/15June_2010_Tuesday_tagesschau-86,Signer01,DONNERSTAG MITTE REGION SCHAUER AUCH SUED AUCH TEILWEISE GEWITTER,am donnerstag regnet es auch in der mitte im süden außerdem teilweise kräftige gewitter .
65,train/15June_2010_Tuesday_tagesschau-87,Signer01,NORD IX SONNE,im norden zeigt sich gebietsweise die sonne .
66,train/15June_2010_Tuesday_tagesschau-88,Signer01,FREITAG AUCH NORD FREUNDLICH SONST WOLKE AUCH TEILWEISE GEWITTER REGEN,auch am freitag ist es im norden zum teil freundlich sonst mehr wolken als sonne teilweise gewittrige regenfälle .
67,train/15June_2010_Tuesday_tagesschau-89,Signer01,SAMSTAG INSGESAMT WECHSELHAFT,am samstag insgesamt wechselhaftes wetter .
68,train/26January_2010_Tuesday_heute-90,Signer03,LIEB ZUSCHAUER BEGRUESSEN GUT ABEND,liebe zuschauer guten abend .
69,train/26January_2010_Tuesday_heute-91,Signer03,NORD REGION HEUTE SONNE ABER ENORM KALT,im norden gab es heute viel sonne aber es war auch ziemlich eisig .
70,train/26January_2010_Tuesday_heute-92,Signer03,BEISPIEL BERLIN SCHAU-MAL IX FUEHLEN ENORM KALT,auf diesem bild von berlin meint man die kälte förmlich zu spüren .
71,train/26January_2010_Tuesday_heute-93,Signer03,MORGEN WETTER WECHSELHAFT WARUM TIEF KOMMEN DESHALB VIEL SCHNEE REGEN STURM,morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind .
72,train/26January_2010_Tuesday_heute-94,Signer03,BIS DONNERSTAG BLEIBEN SO,und das wird uns bis donnerstag beschäftigen .
73,train/26January_2010_Tuesday_heute-95,Signer03,NACHT ZUERST ENORM KALT IHR DRAUSSEN negalp-MUSS BESSER ZU-HAUSE BLEIBEN,heute nacht wird es aber erst mal kräftig kalt also wer nicht raus muss sollte zu hause bleiben .
74,train/26January_2010_Tuesday_heute-96,Signer03,KLAR HIMMEL MOEGLICH MINUS FUENF ZWANZIG GRAD OST REGION WEST MINUS ZWANZIG EINS ZWANZIG GRAD MOEGLICH,es klart verbreitet auf minus fünfundzwanzig grad können im osten erreicht werden im westen zum teil auch bis minus einundzwanzig grad .
75,train/26January_2010_Tuesday_heute-99,Signer03,SCHNEE OST REGION MORGEN FRUEH SCHON SCHNEE,erste schneeflocken fallen morgen vormittag bereits an der ostsee .
76,train/26January_2010_Tuesday_heute-100,Signer03,NACH MITTAG SCHNEE FLAECHENDECKEND,nachmittags breiten sich die schneefälle weiter richtung nördliche mittelgebirge aus .
77,train/26January_2010_Tuesday_heute-101,Signer03,OST REGION MOEGLICH EIS REGEN VORSICHT STRASSE GLATT,im nordwesten kann eisregen oder regen dabei sein mit gefährlicher straßenglätte .
78,train/26January_2010_Tuesday_heute-104,Signer03,SUED REGION BLEIBEN TROCKEN SUED REGION BLEIBEN TROCKEN TEMPERATUR MORGEN MINUS NEUN GRAD NORD REGION MOEGLICH MINUS PLUS VIER GRAD,im süden wie gesagt bleibt es trocken und die temperaturen die liegen morgen so zwischen minus neun und an der küste auch durchaus bis plus vier grad .
79,train/07May_2011_Saturday_tagesschau-108,Signer08,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG ACHTE MAI,und nun die wettervorhersage für morgen sonntag den achten mai .
80,train/07May_2011_Saturday_tagesschau-109,Signer08,ZEIGEN-BILDSCHIRM AUCH MORGEN BLEIBEN HOCH SKANDINAVIEN KOMMEN,auch morgen bestimmt das hoch über skandinavien das wetter in weiten teilen deutschlands .
81,train/07May_2011_Saturday_tagesschau-110,Signer08,TIEF REGION KOMMEN WOLKE KOMMEN ABER REGEN NUR IX,tiefs über den balkan und dem atlantik lenken wolken in ein paar regionen für schauer reicht es aber nur vereinzelt .
82,train/07May_2011_Saturday_tagesschau-111,Signer08,HEUTE NACHT KLAR STERN KOENNEN SEHEN HIMMEL WEST WOLKE DUENN,heute nacht ist es klar über die westhälfte ziehen hier und da dünne schleierwolken .
83,train/07May_2011_Saturday_tagesschau-112,Signer08,MORGEN VIEL SONNE WEST SUEDWEST KOENNEN WOLKE MEHR REGEN GEWITTER NUR IX,am tag morgen dann wieder viel sonne ganz im westen und südwesten ist es zum teil wolkig schauer oder gewitter gibt es aber nur vereinzelt .
84,train/07May_2011_Saturday_tagesschau-114,Signer08,WIND SCHWER SCHWACH MAESSIG NORD FRISCH KOMMEN KOENNEN,der wind weht schwach bis mäßig im norden frisch mit starken böen an den küsten .
85,train/07May_2011_Saturday_tagesschau-115,Signer08,HEUTE NACHT FUENFZEHN GRAD IX FLUSS EINS GRAD OST,heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten .
86,train/07May_2011_Saturday_tagesschau-116,Signer08,TAG EINS ZWANZIG BIS ACHT ZWANZIG GRAD OST SEE BLEIBEN KUEHL,am tag einundzwanzig bis achtundzwanzig grad an der ostsee bleibt es bei seewind kühler .
87,train/07May_2011_Saturday_tagesschau-117,Signer08,IX MONTAG MEHR SONNE KOENNEN WOLKE WEST NORDWEST KOENNEN REGEN GEWITTER KOENNEN,auch am montag meist sonne hier und da wolken im äußersten westen und nordwesten sind schauer und gewitter möglich .
88,train/07May_2011_Saturday_tagesschau-118,Signer08,DIENSTAG SONNE WEST BISSCHEN WOLKE KOENNEN SCHAUER GEWITTER,am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern .
89,train/07May_2011_Saturday_tagesschau-119,Signer08,MITTWOCH TEIL SONNE TEIL WOLKE REGEN MEHR KOENNEN,am mittwoch teils sonne teils wolken schauer und gewitter werden etwas häufiger .
90,train/12February_2010_Friday_tagesschau-120,Signer09,WETTER WIE-AUSSEHEN MORGEN SAMSTAG DREIZEHN FEBRUAR,und nun die wettervorhersage für morgen samstag den dreizehnten februar .
91,train/12February_2010_Friday_tagesschau-121,Signer09,TROCKEN KALT LUFT KOMMEN DEUTSCHLAND,feuchte kalte luft strömt zu uns nach deutschland .
92,train/12February_2010_Friday_tagesschau-122,Signer09,IX SCHAUER BIS VERSCHWINDEN SONNTAG KAUM SCHNEE,dabei lassen die schneefälle allmählich nach am sonntag schneit es kaum noch .
93,train/12February_2010_Friday_tagesschau-123,Signer09,HEUTE NACHT MAL LEICHT SCHNEE SPEZIELL OST,in der nacht schneit es stellenweise leicht vor allem an der ostsee auch mäßig .
94,train/12February_2010_Friday_tagesschau-124,Signer09,VORSICHT STRASSE GLATT,vorsicht wegen straßenglätte .
95,train/12February_2010_Friday_tagesschau-128,Signer09,TAG MEHR FRISCH WEHEN,am tag an der see noch frischer wind .
96,train/12February_2010_Friday_tagesschau-129,Signer09,NACHT MINUS ZWEI BIS MINUS DREIZEHN GRAD TAG SAUER LAND MINUS FUENF FLUSS MINUS FUENF,heute nacht minus zwei bis minus dreizehn grad am tag im sauerland minus fünf grad an rhein und spree null grad .
97,train/12February_2010_Friday_tagesschau-130,Signer09,WIE-AUSSEHEN IN-KOMMEND SONNTAG MAL SCHNEE MONTAG RUHIG WINTER WETTER MAL SONNE MEISTENS,die aussichten am sonntag nur örtlich etwas schnee am montag ruhiges winterwetter mancherorts scheint die sonne meist ist es aber stark bewölkt oder neblig trüb .
98,train/12February_2010_Friday_tagesschau-131,Signer09,WOLKE DIENSTAG NORDWEST VIEL WOLKE TEIL SCHAUER SONST FREUNDLICH TROCKEN,am dienstag im nordwesten viele wolken die gebietsweise schnee bringen sonst ist es teilweise freundlich und trocken .
99,train/01November_2010_Monday_tagesschau-132,Signer05,JETZT WETTER MORGEN DIENSTAG ZWEITE NOVEMBER,und nun die wettervorhersage für morgen dienstag den zweiten november .
